F_Zip_Code_ID,Demographics_Info_ID,Latitude,Longitude,Radius_mi,Population_Density_per_sq_mi,Median_Home_Value,Land_Area_sq_mi,Total_Male,Total_Female,Total_Population,Median_Household_Income,Employment_Rate,Total_Employer_Establishments,Created_At,Is_Processed,Is_Valid
1,1,33.97,-118.25,1,17030.0,249600.0,3.28,27721.0,28138.0,58245,52806,90.14,613,2025-04-14 17:58:48,0,1
2,2,33.95,-118.25,1,17761.0,216100.0,2.99,25882.0,27268.0,54384,46159,88.95,197,2025-04-14 18:36:54,0,1
3,3,33.96,-118.27,2,20071.0,231700.0,3.63,35748.0,37016.0,75190,47733,90.6,440,2025-04-14 19:03:05,0,1
4,4,34.08,-118.31,2,19203.0,776300.0,3.05,29255.0,29330.0,59621,54947,92.61,1252,2025-04-15 01:00:47,0,1
5,5,34.06,-118.31,2,32197.0,633600.0,1.18,18931.0,19056.0,36910,44913,95.51,774,2025-04-15 01:02:09,0,1
6,6,34.05,-118.29,1,30113.0,392100.0,1.93,29454.0,28775.0,57136,41068,93.83,1206,2025-04-15 01:05:40,0,1
7,7,34.03,-118.28,1,16848.0,388900.0,2.43,20830.0,20114.0,41270,33222,86.02,922,2025-04-15 01:08:39,0,1
8,8,34.01,-118.35,2,11420.0,447500.0,2.89,14845.0,18196.0,31046,49379,90.83,376,2025-04-15 01:16:21,0,1
10,9,34.06,-118.3,0.795454545454545,13829.0,514300.0,0.39,2708.0,2692.0,4313,76547,96.91,2538,2025-04-15 01:16:29,0,1
11,10,34.01,-118.26,2,23854.0,269300.0,4.29,51414.0,50894.0,109511,47126,90.09,812,2025-04-15 02:10:31,0,1
12,11,34.06,-118.24,2,9305.0,394500.0,3.64,19808.0,14043.0,39709,53278,90.79,1378,2025-04-15 02:15:01,0,1
13,12,34.05,-118.24,0.852272727272727,22103.0,312200.0,0.71,9375.0,6214.0,13413,22291,87.01,1503,2025-04-15 02:18:18,0,1
14,13,34.044,-118.252,0.568181818181818,30910.0,345200.0,0.3,5294.0,3960.0,8547,31332,90.33,1856,2025-04-15 02:22:00,0,1
15,14,34.04,-118.27,1,16137.0,429100.0,1.69,14373.0,12951.0,24228,53062,93.7,2667,2025-04-15 02:27:14,0,1
16,15,34.03,-118.36,2,12931.0,358000.0,3.6,22534.0,23978.0,45884,53659,93.52,758,2025-04-15 02:48:07,0,1
17,16,34.05,-118.26,0.738636363636364,38607.0,417600.0,0.71,14381.0,12914.0,28433,44607,94.03,1989,2025-04-15 02:48:16,0,1
18,17,34.03,-118.32,1,16722.0,345800.0,3.0,24190.0,25989.0,51388,55275,92.12,441,2025-04-15 03:42:37,0,1
19,18,34.05,-118.34,2,16018.0,617300.0,3.87,30359.0,31643.0,61061,61616,91.78,1220,2025-04-15 03:42:58,0,1
20,19,34.07,-118.31,2,34800.0,511800.0,1.11,18934.0,19760.0,38124,51013,92.54,922,2025-04-15 03:43:08,0,1
21,20,34.03,-118.24,1,2626.0,444000.0,1.98,3243.0,1949.0,2724,25364,88.99,2056,2025-04-15 03:43:21,0,1
23,21,34.02,-118.2,2,10640.0,287500.0,4.32,22970.0,22969.0,45732,48293,91.34,910,2025-04-15 03:43:29,0,1
24,22,34.07,-118.43,1,17775.0,963400.0,2.97,24095.0,28767.0,50611,67422,89.58,2380,2025-04-15 04:47:33,0,1
25,23,34.05,-118.44,2,17824.0,669100.0,2.55,22624.0,22842.0,44608,100453,93.66,3827,2025-04-15 04:53:19,0,1
26,24,34.08,-118.26,2,15715.0,551500.0,4.03,31517.0,31812.0,65921,70436,91.92,1479,2025-04-15 05:01:22,0,1
27,25,34.13,-118.29,3,5473.0,793200.0,8.12,21758.0,22713.0,44678,78356,92.05,1744,2025-04-15 05:17:12,0,1
28,26,34.1,-118.33,1,21402.0,593900.0,1.51,17179.0,15151.0,29887,52814,89.52,1728,2025-04-15 05:29:59,0,1
29,27,34.09,-118.29,1,25212.0,511100.0,1.38,17192.0,17503.0,35037,50822,89.92,628,2025-04-15 05:41:39,0,1
31,28,34.08,-118.22,2,10668.0,340500.0,3.5,18520.0,18813.0,38533,53319,91.37,530,2025-04-15 05:54:45,0,1
32,29,34.08,-118.18,2,9036.0,325100.0,4.81,21144.0,22362.0,45298,65761,90.67,369,2025-04-15 05:58:54,0,1
33,30,34.05,-118.21,1,14066.0,291100.0,3.28,22594.0,23487.0,47495,49734,91.65,559,2025-04-15 05:59:02,0,1
34,31,34.03,-118.4,2,18429.0,637100.0,3.1,28599.0,28553.0,53321,88490,95.22,1352,2025-04-15 05:59:10,0,1
35,32,34.05,-118.39,2,13311.0,842500.0,2.28,14477.0,15817.0,26411,101570,93.47,1270,2025-04-15 05:59:59,0,1
36,33,34.07,-118.35,1,16105.0,945000.0,2.46,19007.0,20542.0,37596,87868,91.39,2408,2025-04-15 06:00:05,0,1
37,34,34.0,-118.29,1,22062.0,271400.0,2.89,31685.0,32021.0,68885,45128,91.89,457,2025-04-15 06:00:10,0,1
38,35,34.09,-118.33,1,17711.0,525800.0,1.55,14279.0,13135.0,27995,51096,92.92,1032,2025-04-15 06:08:30,0,1
39,36,34.12,-118.26,3,7709.0,600000.0,3.64,14115.0,13944.0,28839,99226,93.15,1192,2025-04-15 06:08:36,0,1
41,37,34.13,-118.21,2,7416.0,535500.0,3.59,12876.0,13778.0,28956,95811,94.02,826,2025-04-15 06:08:41,0,1
42,38,34.11,-118.19,2,12899.0,382100.0,4.52,28544.0,29751.0,59658,81853,91.87,844,2025-04-15 06:09:52,0,1
43,39,33.99,-118.34,2,11258.0,364300.0,4.1,21353.0,24826.0,44272,60599,88.91,417,2025-04-15 06:09:58,0,1
44,40,33.95,-118.29,3,18493.0,269400.0,5.1,45271.0,49083.0,100225,43388,90.15,392,2025-04-15 06:10:03,0,1
45,41,33.96,-118.4,2,3814.0,661700.0,10.76,19826.0,21209.0,41411,115943,93.7,2155,2025-04-15 06:42:24,0,1
46,42,34.11,-118.37,2,8823.0,873100.0,5.67,26627.0,23360.0,48749,77162,91.84,2412,2025-04-15 06:42:57,0,1
47,43,33.95,-118.31,3,10656.0,286800.0,4.71,23247.0,26907.0,51494,62399,90.9,409,2025-04-15 06:43:30,0,1
48,44,34.07,-118.38,1,11936.0,941100.0,1.89,10740.0,11864.0,20504,102567,93.7,2492,2025-04-15 06:44:39,0,1
49,45,34.09,-118.5,4,2470.0,1000001.0,14.97,16947.0,20033.0,35853,143000,95.77,1907,2025-04-15 06:45:11,0,1
56,46,33.99,-118.37,2,3625.0,712400.0,2.26,3664.0,4520.0,7956,105744,92.66,181,2025-04-15 06:45:44,0,1
57,47,34.06,-118.28,0.909090909090909,51717.0,282600.0,0.88,23924.0,21586.0,47604,43796,92.64,739,2025-04-15 06:51:42,0,1
58,48,34.0,-118.21,3,648.0,191100.0,5.79,1783.0,1968.0,3659,33146,94.25,1467,2025-04-15 06:52:15,0,1
59,49,33.92,-118.25,2,13775.0,221500.0,3.16,20906.0,22645.0,41315,47682,87.8,241,2025-04-15 06:52:48,0,1
61,50,33.92,-118.27,2,10898.0,256400.0,2.71,14118.0,15452.0,29992,50427,93.19,357,2025-04-15 06:53:56,0,1
62,51,34.0,-118.31,1,17044.0,278700.0,1.91,15780.0,16744.0,34277,56500,93.16,202,2025-04-15 06:54:28,0,1
63,52,34.04,-118.19,2,15291.0,273400.0,3.28,24762.0,25465.0,52954,57026,92.51,370,2025-04-15 06:55:01,0,1
64,53,34.04,-118.43,2,7398.0,904200.0,3.72,13513.0,14040.0,25161,109357,95.76,2465,2025-04-15 06:58:17,0,1
65,54,34.11,-118.23,2,8074.0,453400.0,5.49,21946.0,22382.0,46432,80386,92.1,942,2025-04-15 06:58:50,0,1
66,55,34.0,-118.43,2,11502.0,727800.0,4.81,27157.0,28147.0,54913,90983,94.35,1680,2025-04-15 06:59:23,0,1
67,56,34.058,-118.414,0.568181818181818,7774.0,928600.0,0.43,1477.0,1867.0,2483,109704,93.17,2915,2025-04-15 07:03:48,0,1
68,57,34.13,-118.33,3,3044.0,952100.0,8.0,12751.0,11610.0,21127,90733,91.97,1040,2025-04-15 07:04:20,0,1
69,58,34.09,-118.38,1,9566.0,696700.0,2.15,12125.0,8459.0,20185,98440,92.61,2650,2025-04-15 07:04:53,0,1
71,59,34.053,-118.255,0.284090909090909,6729.0,,0.13,584.0,323.0,28,-666666666,100.0,1166,2025-04-15 07:07:31,0,1
73,60,34.059,-118.451,0.284090909090909,1745.0,,0.54,797.0,139.0,881,-666666666,50.48,11,2025-04-15 07:08:04,0,1
77,61,34.1,-118.45,3,1222.0,1000001.0,7.26,4391.0,4483.0,7729,200625,93.54,308,2025-04-15 07:08:36,0,1
79,62,34.053,-118.245,0.113636363636364,1620.0,,0.01,4.0,12.0,0,-666666666,0.0,139,2025-04-15 07:09:09,0,1
88,63,34.022,-118.286,0.454545454545455,15864.0,,0.33,2396.0,2776.0,3498,-666666666,71.47,33,2025-04-15 07:09:42,0,1
92,64,33.98,-118.42,1,17839.0,645900.0,0.71,6058.0,6688.0,11426,166667,96.39,323,2025-04-15 07:16:05,0,1
93,65,34.071,-118.443,0.625,3.0,,0.4,0.0,1.0,0,-666666666,0.0,36,2025-04-15 07:16:37,0,1
113,66,34.0,-118.4,2,7212.0,556700.0,4.54,15509.0,17234.0,33620,96837,94.46,1499,2025-04-15 07:17:10,0,1
115,67,34.02,-118.39,2,7608.0,722200.0,2.16,7926.0,8526.0,15342,105932,94.33,1304,2025-04-15 07:17:43,0,1
122,68,33.89,-118.3,2,12922.0,337000.0,3.76,23465.0,25078.0,48646,65598,94.2,806,2025-04-15 07:18:16,0,1
123,69,33.87,-118.29,2,2377.0,360000.0,4.75,5419.0,5876.0,11472,69645,95.72,1441,2025-04-15 13:10:14,0,1
138,70,34.08,-118.54,4,960.0,1000001.0,23.81,10896.0,11953.0,21282,212115,96.4,937,2025-04-15 13:10:47,0,1
145,71,33.99,-118.46,1,11545.0,992700.0,2.46,14509.0,13933.0,25685,105871,93.45,1594,2025-04-15 13:11:20,0,1
146,72,33.98,-118.45,1,13206.0,703200.0,2.1,13700.0,13981.0,23951,137813,95.23,1573,2025-04-15 13:11:52,0,1
147,73,33.95,-118.44,2,4609.0,496400.0,2.74,6121.0,6512.0,12812,110884,92.08,367,2025-04-15 13:12:24,0,1
152,74,33.97,-118.35,1,15296.0,327400.0,1.91,13597.0,15667.0,29278,62794,92.15,305,2025-04-15 13:21:17,0,1
169,75,34.03,-118.47,1,11159.0,622000.0,1.97,10656.0,11339.0,23460,74591,93.27,1637,2025-04-15 13:21:49,0,1
177,76,33.83,-118.31,2,7738.0,505900.0,5.69,21735.0,22255.0,43450,80816,92.93,1790,2025-04-15 13:22:22,0,1
178,77,33.83,-118.29,2,8475.0,340500.0,2.24,9247.0,9730.0,18110,89206,93.8,705,2025-04-15 13:22:54,0,1
217,78,33.8,-118.3,2,11397.0,400400.0,2.33,12839.0,13766.0,27998,68537,91.99,458,2025-04-15 13:23:27,0,1
224,79,33.79,-118.32,1,11005.0,447600.0,2.0,10597.0,11447.0,21727,85728,97.15,533,2025-04-15 13:23:59,0,1
226,80,33.74,-118.27,4,6622.0,440700.0,9.25,30779.0,30491.0,62647,61144,93.53,894,2025-04-15 13:24:31,0,1
227,81,33.74,-118.32,2,5982.0,483600.0,3.58,9987.0,11410.0,21582,105297,94.5,368,2025-04-15 13:25:03,0,1
230,82,33.78,-118.26,3,5973.0,307700.0,8.89,26452.0,26622.0,57030,55141,92.56,699,2025-04-15 13:25:36,0,1
246,83,33.82,-118.22,2,5892.0,302700.0,6.54,19109.0,19420.0,37451,67687,91.81,486,2025-04-15 13:26:10,0,1
285,84,34.26,-118.34,3,2595.0,414200.0,8.32,10831.0,10757.0,21289,98044,92.02,343,2025-04-15 14:08:19,0,1
287,85,34.3,-118.2,11,563.0,404600.0,49.8,13799.0,14237.0,26686,73115,91.32,406,2025-04-15 14:08:52,0,1
339,86,34.2,-118.6,0.909090909090909,13452.0,330900.0,2.12,14363.0,14094.0,29965,66494,92.74,1097,2025-04-15 14:09:25,0,1
340,87,34.23,-118.63,3,5388.0,442900.0,9.72,25527.0,26859.0,54264,74987,92.09,930,2025-04-15 14:09:58,0,1
342,88,34.21,-118.58,2,11225.0,357500.0,4.16,23198.0,23471.0,49260,77597,92.05,528,2025-04-15 14:10:31,0,1
343,89,34.2,-118.69,5,3053.0,495300.0,8.14,12232.0,12623.0,25773,125343,90.39,786,2025-04-15 14:11:03,0,1
347,90,34.3,-118.6,5,1198.0,438500.0,32.56,18754.0,20260.0,41188,101623,94.19,2048,2025-04-15 14:11:36,0,1
349,91,34.16,-118.51,2,5273.0,487700.0,5.46,13546.0,15231.0,28182,79858,91.89,1442,2025-04-15 14:12:10,0,1
352,92,34.24,-118.55,2,6929.0,454800.0,4.26,14460.0,15040.0,29328,88003,93.7,1491,2025-04-15 14:12:43,0,1
353,93,34.23,-118.52,2,7320.0,485800.0,4.82,17160.0,18090.0,35355,73119,94.68,760,2025-04-15 14:13:15,0,1
354,94,34.29,-118.56,3,4697.0,611800.0,8.1,18421.0,19620.0,36079,130322,95.23,647,2025-04-15 14:24:33,0,1
359,95,34.26,-118.42,3,10778.0,283000.0,9.34,49912.0,50808.0,102553,72089,93.6,950,2025-04-15 14:30:11,0,1
362,96,34.2,-118.54,2,11673.0,332900.0,6.57,37454.0,39196.0,78205,68163,93.46,1250,2025-04-15 14:35:50,0,1
364,97,34.29,-118.44,2,10087.0,286400.0,3.43,17244.0,17366.0,35918,67638,94.4,760,2025-04-15 14:40:48,0,1
366,98,34.3,-118.4,9,2122.0,322400.0,45.44,47881.0,48548.0,92764,84312,93.98,1108,2025-04-15 14:45:32,0,1
367,99,34.24,-118.48,2,10568.0,380400.0,5.92,31132.0,31463.0,64519,71380,92.71,758,2025-04-15 14:50:19,0,1
368,100,34.29,-118.5,3,3629.0,449600.0,14.46,25725.0,26756.0,54465,104640,92.57,1169,2025-04-15 14:56:12,0,1
369,101,34.27,-118.46,2,5824.0,318800.0,3.24,9214.0,9681.0,18752,85659,94.72,445,2025-04-15 15:00:57,0,1
373,102,34.24,-118.34,5,4075.0,338300.0,11.6,23896.0,23378.0,45900,65085,94.14,1256,2025-04-15 15:05:35,0,1
377,103,34.16,-118.55,2,4181.0,704700.0,7.33,14787.0,15877.0,29968,90886,92.5,1761,2025-04-15 15:09:50,0,1
381,104,34.15,-118.6,3,3591.0,646400.0,7.54,13348.0,13723.0,28264,116443,92.25,2104,2025-04-15 15:14:44,0,1
383,105,34.17,-118.62,4,6210.0,552000.0,7.49,22483.0,24015.0,44931,98803,91.95,2844,2025-04-15 15:19:48,0,1
403,106,34.18,-118.43,1,11196.0,506100.0,3.54,19656.0,19965.0,38974,65458,92.62,1061,2025-04-15 15:24:12,0,1
404,107,34.23,-118.44,2,18824.0,279100.0,3.73,34757.0,35383.0,68076,51485,90.61,779,2025-04-15 15:30:03,0,1
405,108,34.15,-118.46,2,7061.0,740200.0,3.59,12144.0,13185.0,26061,104499,92.81,2240,2025-04-15 15:34:46,0,1
407,109,34.2,-118.45,2,16278.0,342100.0,3.4,27520.0,27799.0,55751,54391,92.57,1076,2025-04-15 15:39:29,0,1
408,110,34.2,-118.49,2,6608.0,361600.0,8.06,26552.0,26700.0,54404,64875,93.19,1700,2025-04-15 15:45:01,0,1
413,111,34.18,-118.46,1,12801.0,456400.0,1.95,12583.0,12401.0,23902,67430,93.79,848,2025-04-15 15:49:22,0,1
417,112,34.15,-118.43,2,8034.0,755300.0,4.06,15532.0,17103.0,31901,97727,89.22,1909,2025-04-15 15:54:05,0,1
419,113,34.15,-118.49,2,2909.0,1000001.0,5.22,7413.0,7776.0,16970,157898,93.9,3440,2025-04-15 15:58:41,0,1
439,114,34.17,-118.37,1,14955.0,464200.0,2.64,19848.0,19581.0,34786,61761,91.2,1088,2025-04-15 16:20:31,0,1
440,115,34.15,-118.37,2,9630.0,600000.0,2.04,9613.0,10034.0,20465,83866,90.73,900,2025-04-15 16:25:12,0,1
442,116,34.14,-118.39,2,6528.0,824000.0,4.74,15047.0,15900.0,32680,124271,91.87,1857,2025-04-15 16:30:57,0,1
443,117,34.21,-118.4,2,10119.0,339100.0,5.37,27008.0,27333.0,52661,56403,91.45,1311,2025-04-15 16:36:47,0,1
444,118,34.19,-118.39,2,13203.0,363400.0,3.33,21678.0,22277.0,43381,57146,92.96,750,2025-04-15 16:41:52,0,1
445,119,34.16,-118.4,1,12360.0,594100.0,2.47,14787.0,15715.0,30921,80871,91.35,921,2025-04-15 16:46:32,0,1
22,120,34.03,-118.15,2,14589.0,294800.0,4.42,31732.0,32785.0,65110,57464,93.44,850,2025-04-15 20:04:29,0,1
40,121,33.99,-118.15,2,2171.0,326100.0,5.57,5901.0,6188.0,11844,56948,93.39,1313,2025-04-15 20:08:46,0,1
52,122,34.053,-118.245,0.113636363636364,93.0,,0.14,9.0,4.0,0,-666666666,0.0,3,2025-04-15 20:12:49,0,1
179,158,33.84,-118.35,2,8617.0,628700.0,5.27,22116.0,23270.0,44744,105142,95.41,2058,2025-04-16 02:15:36,0,1
180,159,33.87,-118.33,2,7370.0,516700.0,4.41,16044.0,16459.0,33022,97289,93.04,653,2025-04-16 02:19:27,0,1
181,160,33.81,-118.35,2,6262.0,682100.0,5.85,17680.0,18963.0,37533,101043,95.21,2132,2025-04-16 02:21:43,0,1
182,161,33.885,-118.331,0.284090909090909,,,,,,0,-666666666,0.0,3,2025-04-16 02:23:44,0,1
187,162,34.01,-118.03,3,3077.0,418600.0,10.6,15820.0,16805.0,30955,86268,94.58,613,2025-04-16 02:25:49,0,1
188,163,33.97,-118.03,2,6803.0,414200.0,3.75,12444.0,13077.0,25907,55328,94.55,518,2025-04-16 02:27:44,0,1
189,164,33.95,-117.99,2,6693.0,423500.0,3.16,10243.0,10931.0,21236,109485,95.03,407,2025-04-16 02:29:15,0,1
190,165,33.93,-118.01,2,9530.0,362800.0,4.21,19444.0,20666.0,39926,88342,96.24,245,2025-04-16 02:30:30,0,1
191,166,33.95,-118.02,3,6293.0,357100.0,6.39,19980.0,20209.0,42600,83667,94.21,551,2025-04-16 02:32:43,0,1
192,167,33.98,-118.07,2,8456.0,328200.0,3.79,15562.0,16516.0,32583,82377,95.0,390,2025-04-16 02:34:02,0,1
199,168,33.9,-118.01,2,6060.0,401600.0,7.75,22739.0,24228.0,46335,97838,94.58,1026,2025-04-16 02:35:11,0,1
200,169,33.907,-118.015,0.511363636363636,10756.0,,0.14,543.0,968.0,2103,-666666666,89.59,9,2025-04-16 02:39:07,0,1
201,170,34.01,-118.11,3,7531.0,385200.0,8.32,30173.0,32505.0,62941,66460,93.23,1300,2025-04-16 02:41:06,0,1
202,171,33.91,-118.08,2,10390.0,315500.0,9.9,50370.0,52521.0,103427,83217,94.18,1137,2025-04-16 02:42:45,0,1
206,172,33.99,-118.08,4,8001.0,330000.0,7.75,30213.0,31800.0,62383,78056,94.99,871,2025-04-16 02:43:41,0,1
209,173,33.93,-118.06,4,2135.0,342800.0,8.32,8470.0,9291.0,17446,76397,95.66,2176,2025-04-16 02:45:25,0,1
211,174,33.87,-118.08,1,10092.0,402700.0,1.63,8178.0,8256.0,16390,83321,91.23,658,2025-04-16 02:46:31,0,1
213,175,33.87,-118.07,3,5685.0,591800.0,8.75,23855.0,25880.0,49989,115272,94.09,1856,2025-04-16 02:48:13,0,1
214,176,33.4,-118.5,11,49.0,679400.0,76.09,1821.0,1894.0,3940,77644,100.0,215,2025-04-16 02:49:38,0,1
215,177,33.89,-118.13,2,12969.0,337100.0,6.11,38412.0,40767.0,79070,70236,92.2,1119,2025-04-16 02:51:57,0,1
219,178,33.84,-118.15,2,7669.0,409500.0,4.22,15665.0,16667.0,31701,108877,94.74,702,2025-04-16 02:54:27,0,1
220,179,33.85,-118.11,2,8292.0,435100.0,3.47,14052.0,14703.0,29113,112118,94.62,337,2025-04-16 02:56:51,0,1
222,180,33.84,-118.08,1,12391.0,356600.0,1.69,10133.0,10866.0,21174,79941,93.46,158,2025-04-16 03:07:34,0,1
223,181,33.83,-118.07,0.795454545454545,15303.0,247100.0,0.92,7018.0,7080.0,14050,66537,94.33,176,2025-04-16 03:08:56,0,1
225,182,33.9,-118.17,2,11325.0,254100.0,4.75,26172.0,27598.0,53938,60493,94.96,1057,2025-04-16 03:11:07,0,1
231,183,33.83,-118.26,2,7285.0,330900.0,8.23,28865.0,31072.0,58327,93759,93.18,766,2025-04-16 03:12:09,0,1
232,184,33.86,-118.26,2,4692.0,362600.0,5.79,12554.0,14593.0,28067,96939,92.15,783,2025-04-16 03:14:09,0,1
233,185,33.866,-118.258,0.454545454545455,1027.0,,0.02,9.0,13.0,35,-666666666,50.0,9,2025-04-16 03:16:43,0,1
236,186,33.8,-118.17,1,5487.0,373400.0,2.17,5838.0,6085.0,11813,79260,95.71,715,2025-04-16 03:18:05,0,1
238,187,33.76,-118.2,3,6383.0,274300.0,6.53,21255.0,20431.0,39036,62720,91.87,1353,2025-04-16 03:20:19,0,1
239,188,33.76,-118.15,4,7920.0,691700.0,4.06,15667.0,16525.0,32631,98428,95.14,1094,2025-04-16 03:22:12,0,1
240,189,33.78,-118.14,2,18236.0,340600.0,2.16,19258.0,20112.0,37953,55647,94.98,684,2025-04-16 03:23:28,0,1
241,190,33.86,-118.18,2,12852.0,282000.0,7.42,46307.0,49043.0,96840,57232,91.65,799,2025-04-16 03:25:59,0,1
242,191,33.81,-118.17,2,8515.0,358400.0,4.89,20426.0,21185.0,41571,60172,91.98,843,2025-04-16 03:28:08,0,1
243,192,33.83,-118.18,2,7332.0,487300.0,4.42,15428.0,16984.0,32994,81622,95.24,1050,2025-04-16 03:30:31,0,1
244,193,33.83,-118.11,3,5788.0,497300.0,6.87,19211.0,20536.0,39723,118814,95.79,740,2025-04-16 03:32:41,0,1
247,194,33.78,-118.2,2,17719.0,296200.0,3.08,27019.0,27546.0,56420,44867,90.27,789,2025-04-16 03:33:50,0,1
248,195,33.77,-118.14,2,14288.0,612400.0,1.33,9277.0,9765.0,19166,84195,96.57,315,2025-04-16 03:35:20,0,1
249,196,33.8,-118.11,3,5931.0,505400.0,7.05,20139.0,21698.0,43092,102939,94.17,888,2025-04-16 03:37:01,0,1
250,197,33.73,-118.26,2,332.0,,0.16,54.0,0.0,117,-666666666,0.0,15,2025-04-16 03:39:14,0,1
251,198,33.767,-118.192,0.113636363636364,,,,,,0,-666666666,0.0,70,2025-04-16 03:41:26,0,1
256,199,33.775,-118.113,0.170454545454545,189.0,,0.04,5.0,3.0,0,-666666666,0.0,6,2025-04-16 03:42:34,0,1
517,200,34.4,-118.0,14,209.0,155800.0,67.69,7234.0,6898.0,13793,61936,91.16,83,2025-04-16 06:11:04,0,1
518,201,34.5,-117.8,9,10.0,167200.0,114.97,632.0,494.0,1511,73409,75.22,9,2025-04-16 06:11:19,0,1
519,202,34.5,-118.1,12,318.0,137200.0,259.25,40048.0,42331.0,82580,54693,90.8,765,2025-04-16 06:11:26,0,1
520,203,34.6,-118.2,10,661.0,243400.0,84.76,27508.0,28493.0,54808,98181,94.45,993,2025-04-16 06:11:42,0,1
521,204,34.5,-118.0,9,1105.0,159600.0,38.44,20848.0,21620.0,43118,73074,92.73,211,2025-04-16 06:11:56,0,1
522,205,34.4,-117.8,12,34.0,191900.0,57.2,967.0,954.0,1056,59805,98.62,20,2025-04-16 06:12:04,0,1
523,206,34.41,-117.75,6,4.0,288800.0,37.81,106.0,37.0,247,210600,100.0,3,2025-04-16 06:12:12,0,1
527,207,34.6,-117.8,11,100.0,77900.0,74.32,3709.0,3741.0,6914,53733,93.49,34,2025-04-16 06:12:27,0,1
109,208,33.88,-118.2,3,9766.0,237100.0,5.38,25823.0,26738.0,50660,57610,91.84,633,2025-04-16 06:42:22,0,1
166,209,34.01,-118.5,1,10824.0,676800.0,0.75,4265.0,3902.0,7482,90682,90.73,1968,2025-04-16 13:16:19,0,1
167,210,34.04,-118.5,1,6020.0,1000001.0,2.04,5916.0,6379.0,12046,139667,95.79,465,2025-04-16 13:19:53,0,1
168,211,34.03,-118.49,1,17907.0,923800.0,1.41,11828.0,13450.0,24525,113204,93.88,1515,2025-04-16 13:23:25,0,1
170,212,34.01,-118.47,2,10053.0,1000001.0,2.78,13550.0,14416.0,27367,97010,92.99,1778,2025-04-16 13:26:50,0,1
267,213,34.22,-118.13,5,4428.0,550000.0,8.26,17671.0,18907.0,36867,114668,92.12,610,2025-04-17 00:03:32,0,1
269,214,34.13,-118.03,4,4969.0,718500.0,6.43,15334.0,16615.0,32499,113817,95.32,1576,2025-04-17 00:07:23,0,1
270,215,34.13,-118.05,2,6140.0,756600.0,5.51,15997.0,17807.0,33689,87339,94.07,1324,2025-04-17 00:11:23,0,1
271,216,34.15,-117.97,1,525.0,945900.0,1.93,478.0,532.0,774,167500,89.81,18,2025-04-17 00:15:20,0,1
273,217,34.15,-117.96,3,4156.0,353300.0,6.43,12655.0,14075.0,27008,88357,93.26,516,2025-04-17 00:19:31,0,1
